,,ACW_50,ACW_0,ACW_Nadir
sub-049P,limbic,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 2.0, 4.0]"
sub-050P,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-050P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[8.0, 8.0, 4.0, 6.0, 8.0, 8.0, 4.0, 4.0, 10.0, 8.0]","[12.0, 8.0, 4.0, 8.0, 4.0, 10.0, 4.0, 4.0, 4.0, 8.0]"
sub-050P,motor,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 4.0, 4.0]","[8.0, 4.0, 4.0, 4.0]"
sub-050P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 6.0, 8.0, 4.0, 4.0]","[4.0, 4.0, 8.0, 8.0, 4.0, 4.0]"
sub-050P,fpn,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 4.0, 8.0]","[6.0, 4.0, 4.0, 4.0]"
sub-050P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 10.0, 10.0]","[6.0, 6.0, 4.0, 4.0]"
sub-050P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[6.0, 4.0, 4.0, 4.0]"
sub-055P,auditory,"[2.0, 2.0, 2.0, 2.0]","[6.0, 4.0, 6.0, 4.0]","[8.0, 4.0, 8.0, 8.0]"
sub-055P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 8.0, 12.0, 8.0, 8.0, 10.0, 12.0, 8.0, 8.0]","[8.0, 12.0, 12.0, 4.0, 8.0, 8.0, 4.0, 8.0, 4.0, 4.0]"
