,,ACW_50,ACW_0,ACW_Nadir
sub-032P,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 8.0, 4.0]","[4.0, 2.0, 4.0, 4.0]"
sub-032P,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-033P,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 4.0, 4.0]","[2.0, 4.0, 4.0, 4.0]"
sub-033P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0]"
sub-033P,motor,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[4.0, 2.0, 2.0, 2.0]"
sub-033P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 4.0, 10.0, 2.0, 2.0]","[2.0, 4.0, 4.0, 4.0, 2.0, 2.0]"
sub-033P,fpn,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]"
sub-033P,salience,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 4.0, 2.0]","[2.0, 2.0, 4.0, 4.0]"
sub-033P,limbic,"[2.0, 2.0, 2.0, 2.0]","[2.0, 2.0, 2.0, 4.0]","[2.0, 4.0, 2.0, 4.0]"
sub-035P,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 8.0, 4.0]","[12.0, 4.0, 8.0, 4.0]"
sub-035P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0]","[8.0, 8.0, 10.0, 8.0, 12.0, 12.0, 8.0, 12.0, 12.0, 12.0]","[8.0, 8.0, 4.0, 8.0, 8.0, 8.0, 8.0, 8.0, 20.0, 16.0]"
sub-035P,motor,"[2.0, 2.0, 2.0, 2.0]","[12.0, 8.0, 8.0, 4.0]","[8.0, 4.0, 4.0, 4.0]"
sub-035P,dmn,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 8.0, 6.0, 8.0]","[4.0, 4.0, 10.0, 14.0, 8.0, 12.0]"
sub-035P,fpn,"[2.0, 2.0, 2.0, 2.0]","[8.0, 12.0, 12.0, 6.0]","[4.0, 4.0, 14.0, 6.0]"
sub-035P,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
sub-035P,limbic,"[2.0, 2.0, 2.0, 2.0]","[12.0, 12.0, 8.0, 8.0]","[20.0, 4.0, 12.0, 8.0]"
sub-037P,auditory,"[2.0, 2.0, 2.0, 2.0]","[2.0, 4.0, 2.0, 6.0]","[2.0, 4.0, 4.0, 8.0]"
sub-037P,visual,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0]","[10.0, 8.0, 4.0, 4.0, 8.0, 8.0, 10.0, 10.0, 10.0, 10.0]","[4.0, 4.0, 4.0, 6.0, 2.0, 2.0, 20.0, 4.0, 20.0, 4.0]"
sub-037P,motor,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 4.0, 4.0]","[4.0, 4.0, 4.0, 4.0]"
