,,ACW_50,ACW_0,ACW_Nadir
sub-021C,auditory,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 10.0]","[8.0, 6.0, 8.0, 12.0]"
sub-021C,visual,"[4.0, 6.0, 4.0, 2.0, 4.0, 4.0, 4.0, 4.0, 2.0, 2.0]","[12.0, 12.0, 10.0, 8.0, 10.0, 12.0, 12.0, 10.0, 12.0, 10.0]","[20.0, 20.0, 12.0, 14.0, 16.0, 16.0, 16.0, 12.0, 12.0, 12.0]"
sub-021C,motor,"[2.0, 2.0, 2.0, 2.0]","[10.0, 8.0, 10.0, 8.0]","[12.0, 8.0, 12.0, 8.0]"
sub-021C,dmn,"[4.0, 4.0, 2.0, 2.0, 2.0, 4.0]","[6.0, 8.0, 6.0, 8.0, 6.0, 10.0]","[12.0, 12.0, 10.0, 8.0, 12.0, 16.0]"
sub-021C,fpn,"[2.0, 2.0, 2.0, 4.0]","[8.0, 8.0, 8.0, 8.0]","[8.0, 12.0, 8.0, 12.0]"
sub-021C,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 8.0, 10.0]","[4.0, 8.0, 12.0, 12.0]"
sub-021C,limbic,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 8.0, 4.0]","[4.0, 4.0, 8.0, 4.0]"
sub-024C,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 8.0, 6.0]","[8.0, 4.0, 4.0, 8.0]"
sub-024C,visual,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[10.0, 12.0, 10.0, 8.0, 10.0, 12.0, 10.0, 8.0, 12.0, 12.0]","[16.0, 20.0, 16.0, 16.0, 12.0, 12.0, 20.0, 20.0, 20.0, 20.0]"
sub-024C,motor,"[4.0, 4.0, 2.0, 2.0]","[8.0, 8.0, 8.0, 8.0]","[8.0, 14.0, 8.0, 8.0]"
sub-024C,dmn,"[4.0, 2.0, 4.0, 4.0, 2.0, 4.0]","[8.0, 8.0, 6.0, 8.0, 6.0, 6.0]","[8.0, 8.0, 12.0, 8.0, 8.0, 14.0]"
sub-024C,fpn,"[4.0, 4.0, 4.0, 4.0]","[8.0, 6.0, 6.0, 6.0]","[16.0, 14.0, 8.0, 12.0]"
sub-024C,salience,"[2.0, 2.0, 2.0, 2.0]","[4.0, 4.0, 8.0, 8.0]","[8.0, 8.0, 8.0, 8.0]"
sub-024C,limbic,"[2.0, 2.0, 2.0, 2.0]","[4.0, 8.0, 8.0, 4.0]","[4.0, 12.0, 4.0, 4.0]"
sub-025C,auditory,"[2.0, 2.0, 2.0, 2.0]","[8.0, 4.0, 8.0, 4.0]","[4.0, 4.0, 12.0, 4.0]"
